"","Date","DayofWeek","Anaheim/SantaAna_CA","Atlanta_GA","Boston_MA","Chicago_IL","Dallas_TX","Denver_CO","Detroit_MI","Houston_TX","LosAngeles_LongBeach_CA","Miami_FL","Minneapolis_StPaul_MN-WI","Nashville_TN","NewOrleans_LA","New York_NY","Norfolk_VirginiaBeach_VA","Oahu_HI","Orlando_FL","Philadelphia_PA","Phoenix_AZ","SanDiego_CA","SanFrancisco_SanMateo_CA","Seattle_WA","StLouis_MO.IL","Tampa_StPetersburg_FL","Washington_DC.MD.VA"
"426",2018-08-08,"Wednesday",187.17,113.38,227.14,155.98,114.01,167.97,111.47,103.94,204.04,147.14,135.14,136.92,107.94,270.2,128.9,266.58,103.41,132.51,87.35,184.77,284.25,232.61,132.17,116.86,140.61
"526",2018-08-09,"Thursday",179.09,105.12,207.76,151.68,103.73,153.04,100.41,95.9,199.31,152.48,120.15,141.23,111.71,236.08,127.38,277.74,101.94,121.97,84.73,184.18,269.35,223.8,129.35,112.76,130.66
"626",2018-08-10,"Friday",181.73,105.99,193.52,159.55,94.51,129.61,99.35,90.07,197.55,170.63,117.2,159.68,119.23,226.97,150.02,275.76,105.05,125.3,86.04,201.71,260.11,214.03,126.87,117.37,121.29
"726",2018-08-11,"Saturday",184.83,106.69,191.57,163.06,92,130.25,104.41,89.27,204.17,172.51,115.95,169.47,120.78,238.3,156,275.72,107.88,130.92,88.98,216.61,261.83,193.11,125.22,118.11,120.68
"127",2018-08-12,"Sunday",163.28,91.05,179.77,143.33,94.5,124.92,95.34,89.27,191.37,150.97,109.07,134.52,99.87,200.85,119.35,275.47,100.97,121.02,81.8,182.1,222.58,178.65,109.96,108.03,121.39
"227",2018-08-13,"Monday",169.39,107.64,208.05,156.69,111.52,146.77,111.71,101.11,199.08,146.93,126.05,137.2,99.75,236.74,123.41,271.61,103.75,137.14,87.11,182.74,249.1,193.87,114.02,114.29,136.15
"327",2018-08-14,"Tuesday",172.36,112.84,219.32,160.82,116.71,162.2,115.3,108.2,205.15,148.94,137.64,142.89,101.31,257.8,124.07,265,103.43,143.23,89.09,185.69,262.22,200.48,117.37,120.57,141.93
"427",2018-08-15,"Wednesday",170.12,110.08,213.86,160.61,113.07,160.59,112.8,108.7,205.64,148.94,134.17,142.57,103.9,252.3,126.41,264.26,103.77,139.47,87.89,172.83,264.59,204.13,115.31,114.37,140.29
"527",2018-08-16,"Thursday",166.31,99.88,195.28,149.63,98.71,140.39,105.65,96.29,198.65,150.83,120.05,142.08,104.98,220.15,123.06,261.11,102.91,125.68,84.08,169.5,239.22,196.55,106.48,109.93,126.99
"627",2018-08-17,"Friday",172.62,92.17,186.38,151.49,92.84,124.49,101.87,85.45,198.77,168.52,119.07,143.81,119.57,218.08,150.15,258.09,104.54,121.51,82.02,183.42,215.25,194.54,106.08,112.89,115.15
"727",2018-08-18,"Saturday",174.28,94.66,198.12,162.61,93.09,124.78,105,88.05,201.95,170.61,124.94,146.54,122.29,230.65,157.04,254.1,103.88,124.68,83.24,195.99,215.7,195.53,112.82,116.52,116.24
"128",2018-08-19,"Sunday",156.62,92.02,193.96,144.16,91.06,127.85,91.31,87.65,186.9,144.44,115.94,125.21,102.14,196.61,117.36,247.38,100.24,112.02,78.19,166.14,208.55,180.93,97.35,103.67,125.45
"228",2018-08-20,"Monday",161.27,110.66,220.72,158.94,108.02,152.28,107.62,102.03,192.76,142.59,131.32,139.92,103.81,228.37,117.19,246.81,102.84,129.03,85.64,175.63,247.35,200.96,109.6,110.99,141.9
"328",2018-08-21,"Tuesday",164.21,121.24,229.88,156.26,113.53,160.62,114.75,106.58,197.7,142.55,136.54,146.5,106.54,248.47,117.12,246.21,101.57,136.23,89.11,176.86,267.25,212.58,114.34,112.67,145.14
"428",2018-08-22,"Wednesday",162.22,122.4,224.72,152.71,112.76,156.65,112.66,105.27,197.68,141.72,134.84,147.24,106.53,246.06,117.31,247.32,98.17,135.35,88.01,172.63,263.25,210.42,114.62,112.47,142.62
"528",2018-08-23,"Thursday",157.98,112.05,190.66,141.95,101.32,139.91,100.8,93.61,190.06,143.69,126.46,148.35,104.44,222.45,122.09,248.64,95.38,120.82,86.37,161.29,230.77,200.39,108.26,110.48,130.38
"628",2018-08-24,"Friday",162.16,102.26,173.77,137.21,91.09,134.92,96.93,82.62,185.31,158.51,126.18,159.2,112.63,221.9,151.71,247.44,97.34,122.29,85.72,170.46,204.86,185.41,110.34,113.07,118.18
"728",2018-08-25,"Saturday",165.07,104.19,177.49,139.48,88.59,140.49,101.59,83.37,186.6,157.46,126.3,172.01,118.73,234.64,154.38,241.64,98.03,124.94,85.88,175.8,204.45,188.14,108.58,114.25,116.16
"129",2018-08-25,"Sunday",149.17,94.08,177.29,124.45,87.8,139.66,92.23,87.54,174.46,136.62,113.55,127.8,101.43,200.29,109.2,237.9,103.19,114.02,78.76,150.18,194.29,169.12,94.63,101.42,123.61
"229",2018-08-26,"Monday",157.72,107.08,202.14,142.49,104.53,153.7,106.01,103.38,179.32,132.77,126.52,136.87,97.84,229.07,106.81,232.4,106.11,126.28,83.59,154.47,228.79,184.09,105.6,107.53,135.01
"329",2018-08-27,"Tuesday",161.47,112.9,213.53,146.8,110.82,148.14,113.15,107.02,182.09,131.44,131.76,143.51,98,241.47,106.89,233.5,101.1,131.84,86.7,154.79,241.42,190.05,111.83,109.63,136.3
"429",2018-08-28,"Wednesday",157.4,111.7,210.19,139.44,107.41,141.32,107.82,102.51,178.52,133.04,127.47,137.9,100.6,237.1,104.32,231.83,99.46,128.52,86.01,155.75,234.22,188.45,110.56,108.54,133.03
"529",2018-08-29,"Thursday",150.16,116.5,189.13,121.35,92.42,128.9,96.35,90.53,172,138.37,112.3,127.71,103.97,222.13,106.76,230.95,96.27,117.12,83.76,149.55,208.31,197.29,96.36,101.94,121.47
"629",2018-08-30,"Friday",160.78,122.47,184.61,126.74,90.71,125.89,93.81,85.78,175.44,167.5,117.28,134.29,126.43,240.53,138.21,236.96,106.11,120.33,87.58,178.81,191.39,195.47,102,113.39,115.91
"729",2018-08-31,"Saturday",178.24,134.06,203.41,143.31,99.78,126.77,102.4,91.93,182.17,173.22,128.45,150.52,140.23,279.91,158.67,230,119,140.48,92.42,211.64,205.71,191.01,113.85,119.02,119.39
"130",2018-09-02,"Sunday",159.68,116.75,188.62,120.35,93.42,116.13,91.61,84.36,166.18,153.71,106.58,124.21,118.3,227.87,141.3,225.56,103.53,120.06,89.66,173.92,184.45,169.36,98.44,113.94,111
"230",2018-09-03,"Monday",128.74,89.5,186.49,110.47,81.15,110.88,86.72,82.28,154.98,131.72,100.82,109.69,98.08,208.94,85.86,224.41,83.14,108.28,78.56,130.52,179.68,156.99,86.16,95,117
"330",2018-09-04,"Tuesday",136.97,99.48,243.86,129.64,100.67,123.75,99.6,98.12,162.44,126.7,116.76,123.11,94.91,278.93,87.07,224.67,94.49,126.77,90.87,136.46,221.29,160.55,98.28,99.77,146.19
"430",2018-09-05,"Wednesday",140.51,103.02,240.95,147.22,112.09,130.61,102.36,103.52,167.66,127.59,122.09,131.53,107.14,324.08,90.92,223.46,102.89,141.34,97.89,151.74,251.38,169.43,103.05,105.12,162.4
"530",2018-09-06,"Thursday",140.87,96.08,222.63,143.77,104.86,128.56,96.38,95.18,164.96,132.24,115.38,136.13,109.49,301.68,91.25,223.02,101.8,139.76,98.59,154.89,241.89,170.33,109.13,105.68,150.84
"630",2018-09-07,"Friday",145.39,88.19,187.44,137.96,92.53,124.95,98.26,84.26,165.92,145.23,113.85,145.52,126.82,279.97,109.76,219.07,98.05,125.4,96.06,161.46,217.39,164.82,98.04,109.7,121.57
"730",2018-09-08,"Saturday",149.42,89.46,192.88,144.23,90.48,130.3,109.07,84.02,168.86,146.63,125.68,147.44,132.63,284.01,114.68,220.25,96.45,125.54,96.47,158.59,207.81,169.45,95.3,109.42,122.67
