"INCOME_Code","INCOME_Text"
10,"$115,000 +"
4,"$30,000 - $39,999"
6,"$50,000 - $59,999"
13,"Not Asked Because"
7,"$60,000 - $74,999"
1,"Below $12,000"
1,"Below $12,000"
7,"$60,000 - $74,999"
13,"Not Asked Because"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
10,"$115,000 +"
7,"$60,000 - $74,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
3,"$15,000 - $29,999"
4,"$30,000 - $39,999"
7,"$60,000 - $74,999"
9,"$90,000 - $114,999"
6,"$50,000 - $59,999"
9,"$90,000 - $114,999"
1,"Below $12,000"
1,"Below $12,000"
5,"$40,000 - $49,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
10,"$115,000 +"
