Name,Location,Instructor,Date,OT Points,Total Calories (kCal),Avg HR,Avg Max HR,Workout ID,Username,Studio
Orange 60,In Studio,Zach,06/08/2018 at 5:30PM,21,419,156,0.79,6757,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,06/22/2018 at 5:30PM,15,423,148,0.75,6759,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,06/29/2018 at 5:30PM,15,423,152,0.77,6760,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,07/13/2018 at 5:30PM,24,455,156,0.8,6762,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,07/20/2018 at 5:30PM,19,463,150,0.77,6763,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,07/27/2018 at 5:30PM,14,413,149,0.76,6764,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,07/06/2018 at 4:15PM,18,369,137,0.7,8928,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,07/01/2018 at 9:30AM,9,385,146,0.75,9565,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,07/29/2018 at 9:30AM,15,401,148,0.76,9569,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,07/15/2018 at 10:45AM,17,429,148,0.75,9672,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,07/04/2018 at 8:30AM,6,351,137,0.7,9903,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,06/06/2018 at 7:30AM,30,492,157,0.8,10520,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,06/20/2018 at 7:30AM,17,441,152,0.78,10522,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,06/10/2018 at 12:00PM,16,422,152,0.78,10729,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,06/24/2018 at 12:00PM,8,385,146,0.75,10731,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,07/22/2018 at 12:00PM,17,393,145,0.74,10735,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,06/04/2018 at 5:30PM,16,471,150,0.77,11148,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,06/18/2018 at 5:30PM,9,336,139,0.71,11150,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,06/25/2018 at 5:30PM,6,360,136,0.6,11151,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,07/02/2018 at 5:30PM,15,386,140,0.72,11152,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,07/30/2018 at 5:30PM,21,402,146,0.74,11156,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,03/24/2018 at 10:45AM,0,400,125,0.64,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,03/05/2018 at 5:30PM,1,226,130,0.66,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,03/18/2018 at 8:15AM,4,490,134,0.68,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,02/25/2018 at 8:15AM,9,578,141,0.72,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,03/19/2018 at 5:30PM,9,495,145,0.74,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,04/08/2018 at 9:30AM,11,555,146,0.75,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,02/26/2018 at 5:30PM,12,505,141,0.72,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,04/06/2018 at 5:30PM,13,571,148,0.76,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,03/21/2018 at 12:00PM,17,519,154,0.79,,RUNJINIM0,waikiki
