"CP_X.x","CP_Station.Name.x","CP_Org.Name.x","CP_Address.1.x","CP_City.x","CP_State.x","CP_Postal.Code","CP_County","CP_Country","CP_No..of.Ports.x","CP_Station.Activation.Type.x","CP_Customer.Category.x","CP_addresses","CP_lon.x","CP_lat.x","CP_X.y","CP_Station.Name.y","CP_Org.Name.y","CP_Address.1.y","CP_City.y","CP_State.y","CP_No..of.Ports.y","CP_Station.Activation.Type.y","CP_Customer.Category.y","CP_lon.y","CP_lat.y","EV_Station.name","EV_Ports","EV_Number.of.Stations","EV_NewLat","EV_NewLong"
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,121,"AULANI: DISNEY / P2 SPACE 119","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,122,"AULANI: DISNEY / P2 SPACE 100","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,123,"AULANI: DISNEY / P2 SPACE 099","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,124,"AULANI: DISNEY / P2 SPACE 098","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,125,"AULANI: DISNEY / P2 SPACE 097","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,126,"AULANI: DISNEY / P2 SPACE 096","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,127,"AULANI: DISNEY / P1 SPACE 499","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,128,"AULANI: DISNEY / P1 SPACE 498","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,129,"AULANI: DISNEY / P1 SPACE 397","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,130,"AULANI: DISNEY / P1 SPACE 396","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,131,"AULANI: DISNEY / P1 SPACE 395","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,132,"AULANI: DISNEY / P1 SPACE 394","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,133,"AULANI: DISNEY / P1 SPACE 393","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,134,"AULANI: DISNEY / P1 SPACE 254","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,135,"AULANI: DISNEY / P1 SPACE 253","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,136,"AULANI: DISNEY / P1 SPACE 252","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,137,"AULANI: DISNEY / P1 SPACE 251","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,138,"AULANI: DISNEY / P1 SPACE 250","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,114,"AULANI: DISNEY / P2 SPACE 218","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,115,"AULANI: DISNEY / P2 SPACE 217","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,116,"AULANI: DISNEY / P2 SPACE 197","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,121,"AULANI: DISNEY / P2 SPACE 119","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,122,"AULANI: DISNEY / P2 SPACE 100","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,123,"AULANI: DISNEY / P2 SPACE 099","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,124,"AULANI: DISNEY / P2 SPACE 098","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,125,"AULANI: DISNEY / P2 SPACE 097","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,126,"AULANI: DISNEY / P2 SPACE 096","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,127,"AULANI: DISNEY / P1 SPACE 499","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,128,"AULANI: DISNEY / P1 SPACE 498","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,129,"AULANI: DISNEY / P1 SPACE 397","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,130,"AULANI: DISNEY / P1 SPACE 396","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,131,"AULANI: DISNEY / P1 SPACE 395","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,132,"AULANI: DISNEY / P1 SPACE 394","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,133,"AULANI: DISNEY / P1 SPACE 393","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,134,"AULANI: DISNEY / P1 SPACE 254","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,135,"AULANI: DISNEY / P1 SPACE 253","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,136,"AULANI: DISNEY / P1 SPACE 252","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,137,"AULANI: DISNEY / P1 SPACE 251","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,138,"AULANI: DISNEY / P1 SPACE 250","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,114,"AULANI: DISNEY / P2 SPACE 218","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,115,"AULANI: DISNEY / P2 SPACE 217","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,116,"AULANI: DISNEY / P2 SPACE 197","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,118,"AULANI: DISNEY / P2 SPACE 122","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,119,"AULANI: DISNEY / P2 SPACE 121","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,121,"AULANI: DISNEY / P2 SPACE 119","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,122,"AULANI: DISNEY / P2 SPACE 100","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,123,"AULANI: DISNEY / P2 SPACE 099","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,124,"AULANI: DISNEY / P2 SPACE 098","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,125,"AULANI: DISNEY / P2 SPACE 097","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,126,"AULANI: DISNEY / P2 SPACE 096","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,127,"AULANI: DISNEY / P1 SPACE 499","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
120,"AULANI: DISNEY / P2 SPACE 120","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",96707,"Honolulu County","United States",1,"Public","Hospitality","92-1185 Aliinui Drive,Kapolei,Hawaii",NA,NA,128,"AULANI: DISNEY / P1 SPACE 498","Disney-Aulani","92-1185 Aliinui Drive","Kapolei","Hawaii",1,"Public","Hospitality",-158.1233459,21.3387599,"Aulani A Disney Resort and Spa, Ko Olina",25,9,21.3396138888889,-158.123265
